STATION,NAME,CODE,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-01,4.92,",,W",0,",,W,2400",0,",,H",50,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-02,5.37,",,W",0,",,W,2400",0,",,H",53,"H,,S",,,,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-03,3.58,",,W",0,",,W,2400",0,",,H",53,"H,,S",,,,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-04,5.14,",,W",0.04,",,W,2400",,,55,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-05,8.5,",,W",0.44,",,W,2400",0,",,H",56,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-06,5.14,",,W",0,",,W,2400",0,",,H",57,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-07,4.7,",,W",0.03,",,W,2400",0,",,H",58,"H,,S",,,,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-08,4.03,",,W",0,",,W,2400",0,",,H",63,"H,,S",,,,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-09,7.61,",,W",0.87,",,W,2400",0,",,H",60,"H,,S",1,",,W",,,1,",,W",,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-10,7.61,",,W",0.09,",,W,2400",0,",,H",56,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-11,11.18,",,W",0.18,",,W,2400",0,",,H",59,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-12,6.04,",,W",0.71,",,W,2400",0,",,H",56,"H,,S",1,",,W",,,,,,,,,,,,,1,",,W",,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-13,4.92,",,W",0,",,W,2400",0,",,H",54,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-14,4.7,",,W",0,",,W,2400",0,",,H",56,"H,,S",1,",,W",,,,,,,,,,,,,1,",,W",,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-15,7.61,",,W",0,",,W,2400",0,",,H",59,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-16,6.71,",,W",0,",,W,2400",0,",,H",57,"H,,S",,,,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-17,6.71,",,W",0,",,W,2400",0,",,H",55,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-18,8.05,",,W",0.06,",,W,2400",,,55,"H,,S",,,,,,,,,,,,,,,1,",,W",,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-19,13.87,",,W",0.58,",,W,2400",0,",,H",56,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-20,17.22,",,W",1.35,",,W,2400",0,",,H",55,"H,,S",1,",,W",1,",,W",,,,,,,,,,,1,",,W",,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-21,12.3,",,W",0,",,W,2400",0,",,H",54,"H,,S",,,,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-22,11.41,",,W",2.94,",,W,2400",0,",,H",53,"H,,S",1,",,W",,,,,,,,,,,,,,,,,,
USW00023174,"LOS ANGELES INTERNATIONAL AIRPORT, CA US",LAX,33.938,-118.3888,29.6,2017-01-23,14.54,",,W",0.15,",,W,2400",,,54,"H,,S",1,",,W",,,1,",,W",,,,,,,,,,,,,,
